ISSN,Field,Journal Title,AJG 2018,AJG 2015,ABS 2010,ABS 2009,JCR rank,SJR rank,SNIP rank,IPP Rank
0001-4826,ACCOUNT,Accounting Review,5,5,5,5,4,3,3,3
0361-3682,ACCOUNT,"Accounting, Organizations and Society",5,5,5,5,3,5,2,2
0165-4101,ACCOUNT,Journal of Accounting and Economics,5,5,5,5,1,1,1,1
0021-8456,ACCOUNT,Journal of Accounting Research,5,5,5,5,2,2,4,4
0823-9150,ACCOUNT,Contemporary Accounting Research,5,5,3,3,6,4,6,6
1380-6653,ACCOUNT,Review of Accounting Studies,5,5,5,5,7,6,9,9
0001-3072,ACCOUNT,Abacus,3,3,3,3,14,23,24,23
0001-4788,ACCOUNT,Accounting and Business Research,3,3,3,3,12,18,16,15
0155-9982,ACCOUNT,Accounting Forum,3,3,3,3,,22,15,17
0888-7993,ACCOUNT,Accounting Horizons,3,3,3,3,9,9,11,13
0951-3574,ACCOUNT,"Accounting, Auditing and Accountability Journal",3,3,3,3,,14,14,7
0278-0380,ACCOUNT,Auditing: A Journal of Practice and Theory,3,3,2,2,8,7,10,8
1050-4753,ACCOUNT,Behavioral Research in Accounting,3,3,3,3,,20,25,26
0890-8389,ACCOUNT,British Accounting Review,3,3,3,3,,21,8,11
0007-1870,ACCOUNT,British Tax Review,3,3,2,2,,,,
1045-2354,ACCOUNT,Critical Perspectives on Accounting,3,3,3,3,,15,17,16
0963-8180,ACCOUNT,European Accounting Review,3,3,3,3,11,16,12,14
0267-4424,ACCOUNT,Financial Accountability and Management,3,3,3,3,,,,
1554-0642,ACCOUNT,Foundations and Trends in Accounting,3,3,,,,13,19,27
1094-4060,ACCOUNT,International Journal of Accounting,3,3,3,3,,24,20,19
0278-4254,ACCOUNT,Journal of Accounting and Public Policy,3,3,3,3,10,12,13,12
0737-4607,ACCOUNT,Journal of Accounting Literature,3,3,3,3,,61,55,54
0148-558X,ACCOUNT,"Journal of Accounting, Auditing and Finance",3,3,3,3,,19,27,25
0306-686X,ACCOUNT,Journal of Business Finance and Accounting,3,3,3,3,13,10,22,18
1061-9518,ACCOUNT,"Journal of International Accounting, Auditing and Taxation",3,3,2,2,,28,18,20
0198-9073,ACCOUNT,Journal of the American Taxation Association,3,3,,,,11,33,30
1044-5005,ACCOUNT,Management Accounting Research,3,3,3,3,5,8,5,5
0810-5391,ACCOUNT,Accounting and Finance,2,2,2,2,15,27,21,22
1530-9320,ACCOUNT,Accounting and the Public Interest,2,2,,,,40,52,46
1744-9480,ACCOUNT,Accounting in Europe,2,2,1,1,,32,36,34
1030-9616,ACCOUNT,Accounting Research Journal,2,2,,,,48,43,41
2152-2820,ACCOUNT,"Accounting, Economics and Law - A Convivium",2,,,,,,,
0882-9073,ACCOUNT,"Advances in Accounting (incorporates ""Advances in International Accounting"" ISSN 0897-3660)",2,2,,,,38,32,35
1475-1488,ACCOUNT,Advances in Accounting Behavioral Research,2,2,,,,54,56,56
1474-7871,ACCOUNT,Advances in Management Accounting,2,2,,,,49,57,55
1058-7497,ACCOUNT,Advances in Taxation,2,2,,,,56,58,58
1608-1625,ACCOUNT,Asia-Pacific Journal of Accounting and Economics,2,2,,,19,46,41,49
1321-7348,ACCOUNT,Asian Review of Accounting,2,2,,,,45,35,40
1035-6908,ACCOUNT,Australian Accounting Review,2,2,,,16,29,30,28
1755-3091,ACCOUNT,China Journal of Accounting Research,2,,,,,59,47,52
1936-1270,ACCOUNT,Current Issues in Auditing,2,2,,,,36,42,45
1834-7649,ACCOUNT,International Journal of Accounting & Information Management,2,2,,,,47,46,42
1740-8008,ACCOUNT,International Journal of Accounting Auditing and Performance Evaluation (IJAAPE),2,2,1,,,52,53,50
1467-0895,ACCOUNT,International Journal of Accounting Information Systems,2,2,1,1,,17,7,10
1090-6738,ACCOUNT,International Journal of Auditing,2,2,2,2,,33,29,32
1741-3591,ACCOUNT,International Journal of Disclosure and Governance,2,2,,,,43,38,44
1753-6723,ACCOUNT,International Journal of Managerial and Financial Accounting,2,,,,,,,
1832-5912,ACCOUNT,Journal of Accounting and Organizational Change,2,2,1,1,,39,40,38
2042-1168,ACCOUNT,Journal of Accounting in Emerging Economies,2,2,,,,,,
0967-5426,ACCOUNT,Journal of Applied Accounting Research,2,2,2,2,,51,45,47
1815-5669,ACCOUNT,Journal of Contemporary Accounting and Economics,2,2,,,,31,31,29
1542-6297,ACCOUNT,Journal of International Accounting Research,2,2,2,2,,25,26,21
1467-646X,ACCOUNT,Journal of International Financial Management and Accounting,2,2,,,17,30,23,24
1049-2127,ACCOUNT,Journal of Management Accounting Research (AAA),2,2,2,2,,26,39,39
2191-4761,ACCOUNT,Journal of Management Control,2,,,,,35,44,43
1096-3367,ACCOUNT,"Journal of Public Budgeting, Accounting and Financial Management",2,2,,,,53,54,57
2059-190X,ACCOUNT,Journal of Tax Administration,2,,,,,,,
0268-6902,ACCOUNT,Managerial Auditing Journal,2,2,1,1,,34,28,31
1176-6093,ACCOUNT,Qualitative Research in Accounting and Management,2,2,1,1,,41,37,33
1052-0457,ACCOUNT,Research in Accounting Regulation,2,2,,,,42,34,36
2040-8021,ACCOUNT,"Sustainability Accounting, Management and Policy Journal",2,2,,,,37,49,37
2009-8766,ACCOUNT,"Accounting, Finance & Governance Review (formerly the Irish Accounting Review)",1,,,,,,,
1479-3598,ACCOUNT,Advances in Environmental Accounting and Management,1,1,,,,63,63,63
1041-7060,ACCOUNT,Advances in Public Interest Accounting,1,1,,,,55,61,60
2046-8083,ACCOUNT,African Journal of Accounting Auditing and Finance (AJAAF),1,,,,,,,
1543-866X,ACCOUNT,ATA Journal of Legal Tax Research,1,1,,,,60,63,63
1834-2000,ACCOUNT,"Australasian Accounting, Business and Finance Journal",1,1,,,,64,60,61
