ISSN,Category,Title,ranking10,ranking09,short Title,Economics
1832-5912,ACCOUNT,Journal of Accounting and Organizational Change,1,1, ,0
1744-9480,ACCOUNT,Accounting in Europe,1,1, ,0
1740-8008,ACCOUNT,International Journal of Accounting Auditing and Performance Evaluation (IJAAPE),1,0, ,0
1542-6297,ACCOUNT,Journal of International Accounting Research,2,2, ,0
1467-0895,ACCOUNT,International Journal of Accounting Information Systems,1,1, ,0
1380-6653,ACCOUNT,Review of Accounting Studies,4,4,REV ACCOUNT STUD,0
1090-6738,ACCOUNT,International Journal of Auditing,2,2, ,0
1061-9518,ACCOUNT,"Journal of International Accounting, Auditing and Taxation",2,2, ,0
1050-4753,ACCOUNT,Behavioral Research in Accounting,3,3, ,0
1049-2127,ACCOUNT,Journal of Management Accounting Research (AAA),2,2, ,0
1045-2354,ACCOUNT,Critical Perspectives on Accounting,3,3, ,0
1044-5005,ACCOUNT,Management Accounting Research,3,3, ,0
0967-5426,ACCOUNT,Journal of Applied Accounting Research,2,2, ,0
0963-8180,ACCOUNT,European Accounting Review,3,3,EUR ACCOUNT REV,0
0951-3574,ACCOUNT,"Accounting, Auditing and Accountability Journal",3,3, ,0
0897-3660,ACCOUNT,Advances in International Accounting,2,2, ,0
0890-8389,ACCOUNT,British Accounting Review,3,3, ,0
0888-7993,ACCOUNT,Accounting Horizons,3,3, ,0
0823-9150,ACCOUNT,Contemporary Accounting Research,3,3,CONTEMP ACCOUNT RES,0
0810-5391,ACCOUNT,Accounting and Finance,2,2, ,0
0737-4607,ACCOUNT,Journal of Accounting Literature,3,3, ,0
0361-3682,ACCOUNT,"Accounting, Organizations and Society ",5,5,ACCOUNT ORG SOC,0
0278-4254,ACCOUNT,Journal of Accounting and Public Policy,3,3, ,0
0278-0380,ACCOUNT,Auditing: A Journal of Practice and Theory,2,2,AUDITING-J PRACT TH,0
0268-6902,ACCOUNT,Managerial Auditing Journal,1,1, ,0
0267-4424,ACCOUNT,Financial Accountability and Management,3,3, ,0
0165-4101,ACCOUNT,Journal of Accounting and Economics ,5,5,J ACCOUNT ECON,0
0155-9982,ACCOUNT,Accounting Forum,3,3, ,0
0148-558X,ACCOUNT,"Journal of Accounting, Auditing and Finance",3,3, ,0
0021-8456,ACCOUNT,Journal of Accounting Research ,5,5,J ACCOUNT RES,0
0020-7063,ACCOUNT,International Journal of Accounting,3,3, ,0
0007-1870,ACCOUNT,British Tax Review,2,2, ,0
0001-4826,ACCOUNT,Accounting Review ,5,5,ACCOUNT REV,0
0001-4788,ACCOUNT,Accounting and Business Research,3,3, ,0
0001-3072,ACCOUNT,Abacus,3,3,ABACUS,0
1744-9359,BUS HIST,Management and Organizational History,1,1, ,0
1467-2227,BUS HIST,Enterprise and Society,3,3,ENTERP SOC,0
1362-1572,BUS HIST,Historical Studies in Industrial Relations,1,0, ,0
1361-4916,BUS HIST,European Review of Economic History,1,0, ,0
1355-252X,BUS HIST,Journal of Management History,1,0, ,0
1032-3732,BUS HIST,Accounting History,2,2, ,0
0968-5650,BUS HIST,Financial History Review,2,2, ,0
0967-2567,BUS HIST,European Journal of the History of Economic Thought,2,0,EUR J HIST ECON THOU,0
0958-5206,BUS HIST,"Accounting, Business and Financial History",2,2, ,0
0148-4184,BUS HIST,Accounting Historians Journal,2,2, ,0
0023-656X,BUS HIST,Labor History,3,2,LABOR HIST,0
0022-5266,BUS HIST,Journal of Transport History,2,2, ,0
0007-6805,BUS HIST,Business History Review,3,3,BUS HIST REV,0
0007-6791,BUS HIST,Business History,4,4,BUS HIST,0
8756-6222,ECON,"Journal of Law, Economics and Organization",3,3,J LAW ECON ORGAN,1
1610-2878,ECON,Review of World Economics,2,2,REV WORLD ECON,1
1542-4766,ECON,Journal of the European Economic Association,4,3,J EUR ECON ASSOC,1
1463-6786,ECON,Manchester School,3,2,MANCH SCH,1
1463-1377,ECON,Post-Communist Economies,1,1,POST-COMMUNIST ECON,1
1386-4157,ECON,Experimental Economics,2,2,EXP ECON,1
1370-4788,ECON,Annals of Public and Cooperative Economics,2,2, ,1
1368-4221,ECON,Econometrics Journal,3,3,ECONOMET J,1
1365-1005,ECON,Macroeconomic Dynamics,2,2,MACROECON DYN,1
1364-985X,ECON,Australian Journal of Agricultural and Resource Economics,2,2,AUST J AGR RESOUR EC,1
1363-7029,ECON,Economic Issues,2,2, ,1
1357-1516,ECON,International Journal of the Economics of Business,3,3, ,1
1350-4851,ECON,Applied Economics Letters,1,1,APPL ECON LETT,1
1350-178X,ECON,Journal of Economic Methodology,2,2, ,1
1097-3923,ECON,Journal of Public Economic Theory,2,3, ,1
1094-2025,ECON,Review of Economic Dynamics,3,3,REV ECON DYNAM,1
1086-7376,ECON,Studies in Economics and Finance,1,1, ,1
1081-1826,ECON,Studies in Nonlinear Dynamics and Econometrics,2,2,STUD NONLINEAR DYN E,1
1080-8620,ECON,Real Estate Economics,2,2,REAL ESTATE ECON,1
1074-3529,ECON,Contemporary Economic Policy,2,2,CONTEMP ECON POLICY,1
1062-9769,ECON,Quarterly Review of Economics and Finance,2,2, ,1
1058-3300,ECON,Review of Financial Economics,1,1, ,1
1057-9230,ECON,Health Economics,2,2,HEALTH ECON,1
1051-1377,ECON,Journal of Housing Economics,1,1,J HOUS ECON,1
1043-8599,ECON,Economics of Innovation and New Technology,2,2, ,1
1024-2694,ECON,Defence and Peace Economics,2,2,DEFENCE PEACE ECON,1
1020-7635,ECON,IMF: Staff Papers,3,3,IMF STAFF PAPERS,1
0967-0750,ECON,"Economics of Transition, The",1,1,ECON TRANSIT,1
0965-7576,ECON,Review of International Economics,3,3, ,1
