"Journal Data Filtered By:  Selected JCR Year: 2017 Selected Editions: SCIE,SSCI Selected Category Scheme: WoS",,,,,
Rank,Full Journal Title,ISSN,Journal Impact Factor,5-Year Impact Factor,Article Influence Score
1,CA-A CANCER JOURNAL FOR CLINICIANS,0007-9235,244.585,161.803,40.950
2,NEW ENGLAND JOURNAL OF MEDICINE,0028-4793,79.260,67.513,29.439
3,LANCET,0140-6736,53.254,52.665,21.011
4,CHEMICAL REVIEWS,0009-2665,52.613,55.198,15.994
5,Nature Reviews Materials,2058-8437,51.941,51.941,21.428
6,NATURE REVIEWS DRUG DISCOVERY,1474-1776,50.167,54.490,19.352
7,JAMA-JOURNAL OF THE AMERICAN MEDICAL ASSOCIATION,0098-7484,47.661,42.464,19.967
8,Nature Energy,2058-7546,46.859,46.870,16.115
9,NATURE REVIEWS CANCER,1474-175X,42.784,50.293,18.851
10,NATURE REVIEWS IMMUNOLOGY,1474-1733,41.982,46.507,20.511
11,NATURE,0028-0836,41.577,44.959,22.537
12,NATURE REVIEWS GENETICS,1471-0056,41.465,44.913,22.960
13,SCIENCE,0036-8075,41.058,40.627,19.909
14,CHEMICAL SOCIETY REVIEWS,0306-0012,40.182,41.270,10.900
15,NATURE MATERIALS,1476-1122,39.235,47.534,18.001
16,Nature Nanotechnology,1748-3387,37.490,45.815,17.889
17,LANCET ONCOLOGY,1470-2045,36.421,33.234,11.999
18,REVIEWS OF MODERN PHYSICS,0034-6861,36.367,38.473,19.496
19,NATURE BIOTECHNOLOGY,1087-0156,35.724,43.271,22.182
20,NATURE REVIEWS MOLECULAR CELL BIOLOGY,1471-0072,35.612,47.918,22.807
21,NATURE REVIEWS NEUROSCIENCE,1471-003X,32.635,38.691,17.030
22,NATURE MEDICINE,1078-8956,32.621,33.409,15.150
23,Nature Photonics,1749-4885,32.521,38.551,14.920
24,NATURE REVIEWS MICROBIOLOGY,1740-1526,31.851,31.155,12.508
25,CELL,0092-8674,31.398,33.796,19.514
26,ADVANCES IN PHYSICS,0001-8732,30.917,25.690,12.616
27,Energy & Environmental Science,1754-5692,30.067,28.924,7.071
28,World Psychiatry,2051-5545,30.000,23.265,7.502
28,World Psychiatry,2051-5545,30.000,23.265,7.502
30,LANCET NEUROLOGY,1474-4422,27.144,28.055,10.983
31,NATURE GENETICS,1061-4036,27.125,31.156,16.653
32,NATURE METHODS,1548-7091,26.919,41.934,23.301
33,PSYCHOLOGICAL INQUIRY,1047-840X,26.364,18.862,8.064
34,JOURNAL OF CLINICAL ONCOLOGY,0732-183X,26.360,21.472,7.746
35,Nature Chemistry,1755-4330,26.201,28.790,11.406
36,PROGRESS IN ENERGY AND COMBUSTION SCIENCE,0360-1285,25.242,27.860,7.137
37,LANCET INFECTIOUS DISEASES,1473-3099,25.148,22.668,9.418
38,Annual Review of Astronomy and Astrophysics,0066-4146,24.912,40.554,20.670
39,Nature Reviews Clinical Oncology,1759-4774,24.653,20.605,7.259
40,PROGRESS IN POLYMER SCIENCE,0079-6700,24.558,32.833,7.209
41,Materials Today,1369-7021,24.537,24.971,5.977
42,MATERIALS SCIENCE & ENGINEERING R-REPORTS,0927-796X,24.480,30.400,7.182
43,Cancer Discovery,2159-8274,24.373,24.621,11.374
44,PHYSIOLOGICAL REVIEWS,0031-9333,24.014,34.299,12.673
45,PROGRESS IN MATERIALS SCIENCE,0079-6425,23.750,33.190,7.741
46,BMJ-British Medical Journal,1756-1833,23.562,20.467,8.464
47,EUROPEAN HEART JOURNAL,0195-668X,23.425,20.660,7.465
48,Living Reviews in Relativity,1433-8351,23.333,27.939,13.003
49,Cell Stem Cell,1934-5909,23.290,23.799,12.374
50,CANCER CELL,1535-6108,22.844,27.072,12.366
51,Annual Review of Psychology,0066-4308,22.774,30.519,12.488
51,Annual Review of Psychology,0066-4308,22.774,30.519,12.488
53,Journal of Statistical Software,1548-7660,22.737,15.682,6.991
54,Nature Physics,1745-2473,22.727,22.610,12.314
55,Annual Review of Immunology,0732-0582,22.714,35.512,16.990
56,ADVANCED MATERIALS,0935-9648,21.950,21.888,5.469
57,Advanced Energy Materials,1614-6832,21.875,19.687,4.876
58,Annual Review of Condensed Matter Physics,1947-5454,21.853,19.705,12.038
59,NATURE IMMUNOLOGY,1529-2908,21.809,21.974,11.314
60,Lancet Respiratory Medicine,2213-2600,21.466,20.309,8.371
61,Advances in Optics and Photonics,1943-8206,21.286,18.800,6.365
61,Psychological Science in the Public Interest,1529-1006,21.286,33.059,15.282
63,ACCOUNTS OF CHEMICAL RESEARCH,0001-4842,20.955,22.361,7.125
64,JAMA Oncology,2374-2437,20.871,20.884,8.962
65,GASTROENTEROLOGY,0016-5085,20.773,19.131,7.269
66,CLINICAL MICROBIOLOGY REVIEWS,0893-8512,20.642,24.541,8.632
67,Cell Metabolism,1550-4131,20.565,21.398,9.494
68,Nature Reviews Endocrinology,1759-5029,20.265,19.244,6.752
69,IEEE Communications Surveys and Tutorials,1553-877X,20.230,20.618,5.532
70,Annual Review of Biochemistry,0066-4154,20.154,26.231,14.042
71,PHYSICS REPORTS-REVIEW SECTION OF PHYSICS LETTERS,0370-1573,20.099,21.477,8.546
72,JAMA Internal Medicine,2168-6106,19.989,17.840,9.127
73,NATURE NEUROSCIENCE,1097-6256,19.912,19.188,10.100
74,Nature Reviews Neurology,1759-4758,19.819,20.895,7.630
75,IMMUNITY,1074-7613,19.734,23.618,11.465
76,ANNALS OF INTERNAL MEDICINE,0003-4819,19.384,18.726,9.229
77,Lancet Diabetes & Endocrinology,2213-8587,19.313,20.231,8.764
78,Nature Climate Change,1758-678X,19.181,22.363,9.464
78,Nature Climate Change,1758-678X,19.181,22.363,9.464
80,NATURE CELL BIOLOGY,1465-7392,19.064,20.460,10.708
81,PHARMACOLOGICAL REVIEWS,0031-6997,18.964,21.706,6.823
82,CIRCULATION,0009-7322,18.881,17.902,7.199
83,Annual Review of Plant Biology,1543-5008,18.712,24.679,9.151
84,Lancet Global Health,2214-109X,18.705,20.577,9.099
84,Lancet Global Health,2214-109X,18.705,20.577,9.099
86,TRENDS IN CELL BIOLOGY,0962-8924,18.564,15.211,7.205
87,Cell Host & Microbe,1931-3128,17.872,16.028,7.370
88,SURFACE SCIENCE REPORTS,0167-5729,17.800,14.479,4.769
89,Nano Today,1748-0132,17.753,18.912,4.788
90,EUROPEAN UROLOGY,0302-2838,17.581,15.655,4.777
91,Nature Reviews Gastroenterology & Hepatology,1759-5045,17.324,16.648,6.111
92,GUT,0017-5749,17.016,15.910,5.597
93,JOURNAL OF THE AMERICAN COLLEGE OF CARDIOLOGY,0735-1097,16.834,18.737,7.479
94,Science Translational Medicine,1946-6234,16.710,18.615,8.200
95,JAMA Psychiatry,2168-622X,16.642,16.415,6.749
95,JAMA Psychiatry,2168-622X,16.642,16.415,6.749
97,Industrial and Organizational Psychology-Perspectives on Science and Practice,1754-9426,16.375,2.152,0.727
98,Nature Reviews Disease Primers,2056-676X,16.071,16.155,6.263
99,Annual Review of Pathology-Mechanisms of Disease,1553-4006,15.952,20.677,7.749
100,TRENDS IN ECOLOGY & EVOLUTION,0169-5347,15.938,19.349,7.678
101,ACTA NEUROPATHOLOGICA,0001-6322,15.876,13.552,5.207
102,Annual Review of Materials Research,1531-7331,15.846,18.143,6.149
103,TRENDS IN BIOCHEMICAL SCIENCES,0968-0004,15.678,14.685,6.722
104,Nature Reviews Rheumatology,1759-4790,15.661,14.358,5.172
105,TRENDS IN COGNITIVE SCIENCES,1364-6613,15.557,22.838,9.424
105,TRENDS IN COGNITIVE SCIENCES,1364-6613,15.557,22.838,9.424
107,ENDOCRINE REVIEWS,0163-769X,15.545,18.639,6.060
108,CELL RESEARCH,1001-0602,15.393,15.973,6.652
109,JOURNAL OF PHOTOCHEMISTRY AND PHOTOBIOLOGY C-PHOTOCHEMISTRY REVIEWS,1389-5567,15.325,18.065,3.897
110,AMERICAN JOURNAL OF RESPIRATORY AND CRITICAL CARE MEDICINE,1073-449X,15.239,14.526,5.086
111,Lancet Psychiatry,2215-0374,15.233,15.152,5.779
111,Lancet Psychiatry,2215-0374,15.233,15.152,5.779
113,CIRCULATION RESEARCH,0009-7330,15.211,13.313,4.843
114,Nature Reviews Cardiology,1759-5002,15.162,13.249,5.065
115,BLOOD,0006-4971,15.132,12.365,4.516
116,BEHAVIORAL AND BRAIN SCIENCES,0140-525X,15.071,21.181,8.860
116,BEHAVIORAL AND BRAIN SCIENCES,0140-525X,15.071,21.181,8.860
118,JOURNAL OF HEPATOLOGY,0168-8278,15.040,12.723,4.138
119,INTENSIVE CARE MEDICINE,0342-4642,15.008,10.837,3.461
120,Annual Review of Medicine,0066-4219,14.970,12.590,4.514
121,Annual Review of Fluid Mechanics,0066-4189,14.814,17.171,7.659
122,Annual Review of Neuroscience,0147-006X,14.675,19.878,10.172
123,COORDINATION CHEMISTRY REVIEWS,0010-8545,14.499,13.215,3.092
