Rank,Issn,Journal Impact Factor,5-Year Impact Factor,Article Influence Score,,,
1,0007-9235,144.800,131.810,39.508,,,
2,0028-4793,55.873,54.390,24.284,,,
3,0009-2665,46.568,50.679,14.711,,,
4,0140-6736,45.217,42.724,17.592,,,
5,1474-1776,41.908,37.825,13.532,,,
6,1087-0156,41.514,38.276,19.208,,,
7,0028-0836,41.456,41.296,21.960,,,
8,0732-0582,39.327,46.694,23.711,,,
9,1471-0072,37.806,41.496,20.763,,,
10,1474-175X,37.400,44.335,18.217,,,
11,1471-0056,36.978,43.234,20.727,,,
12,1476-1122,36.503,44.046,17.850,,,
13,0098-7484,35.289,31.026,14.418,,,
14,1474-1733,34.985,37.316,17.478,,,
15,1748-3387,34.048,37.601,15.467,,,
16,0036-8075,33.611,35.263,17.885,,,
17,0306-0012,33.383,36.001,9.597,,,
18,0066-4146,33.346,33.914,22.835,,,
19,1749-4885,32.386,33.413,15.035,,,
20,0092-8674,32.242,35.532,19.361,,,
21,1548-7091,32.072,31.232,15.909,,,
22,1471-003X,31.427,38.997,16.894,,,
23,0066-4154,30.283,32.360,16.865,,,
24,0034-6861,29.604,51.324,31.158,,,
25,1061-4036,29.352,32.408,15.919,,,
26,1078-8956,28.223,27.504,12.480,,,
27,0079-6425,27.417,29.065,9.074,,,
28,0031-9333,27.324,35.337,13.773,,,
29,0079-6700,26.932,33.343,7.831,,,
30,1755-4330,25.325,26.763,9.938,,,
31,1470-2045,24.690,26.239,10.011,,,
32,1740-1526,23.574,26.162,10.777,,,
33,1535-6108,23.523,27.252,13.240,,,
34,1543-5008,23.300,28.148,10.456,,,
35,1473-3099,22.433,19.094,8.219,,,
36,0001-4842,22.323,24.373,7.573,,,
37,1934-5909,22.268,24.565,12.105,,,
38,1364-6613,21.965,22.500,9.498,,,
38,1364-6613,21.965,22.500,9.498,,,
40,1474-4422,21.896,24.577,9.553,,,
41,0066-4308,21.810,26.824,12.229,,,
41,0066-4308,21.810,26.824,12.229,,,
43,1074-7613,21.561,21.003,11.660,,,
44,0163-769X,21.059,22.052,7.574,,,
45,0001-8732,20.833,29.771,14.904,,,
46,0140-525X,20.771,24.308,10.686,,,
46,0140-525X,20.771,24.308,10.686,,,
48,1754-5692,20.523,19.198,4.632,,,
49,1745-2473,20.147,19.777,13.318,,,
50,0370-1573,20.033,24.573,11.422,,,
51,1529-2908,20.004,23.956,12.884,,,
52,1465-7392,19.679,20.688,10.855,,,
53,2159-8274,19.453,20.259,9.856,,,
54,0147-006X,19.320,25.920,13.624,,,
55,1433-8351,19.250,20.634,9.671,,,
56,0360-1285,19.220,21.043,6.389,,,
57,1553-4006,18.750,22.978,9.120,,,
58,0066-4278,18.510,19.656,8.291,,,
59,0732-183X,18.443,16.971,6.158,,,
60,0362-1642,18.365,19.349,6.942,,,
61,0003-4819,17.810,17.469,8.134,,,
62,0935-4956,17.737,13.872,9.154,,,
63,1614-4961,17.636,21.111,14.080,,,
64,1550-4131,17.565,17.608,7.916,,,
65,0935-9648,17.493,18.172,4.750,,,
66,1756-1833,17.445,16.814,6.979,,,
67,0893-8512,17.406,21.657,7.631,,,
68,0003-9926,17.333,13.098,5.869,,,
69,0031-6997,17.099,22.347,7.548,,,
70,0002-5100,17.083,13.871,4.671,,,
71,0034-4885,17.062,17.242,8.761,,,
72,0301-5556,17.000,6.923,2.119,,,
73,0066-426X,16.842,16.113,6.673,,,
74,1529-1006,16.833,Not Available,Not Available,,,
75,0016-5085,16.716,13.811,5.132,,,
76,1081-0706,16.660,21.326,10.990,,,
77,0735-1097,16.503,14.987,6.022,,,
78,0169-5347,16.196,19.819,8.768,,,
79,1614-6832,16.146,16.581,4.343,,,
80,1097-6256,16.095,17.154,8.821,,,
81,1389-5567,16.091,14.824,3.630,,,
82,1946-6234,15.843,13.845,6.540,,,
83,0066-4197,15.724,21.669,10.699,,,
84,0927-796X,15.500,21.676,6.488,,,
85,1936-122X,15.436,14.192,7.455,,,
86,1759-4758,15.358,15.380,5.751,,,
87,0195-668X,15.203,13.652,5.387,,,
88,0009-7322,15.073,15.457,6.333,,,
89,0896-6273,15.054,16.839,8.682,,,
90,0169-409X,15.038,15.889,3.925,,,
91,1748-0132,15.000,20.089,5.359,,,
92,8755-1209,14.800,16.102,8.514,,,
93,1947-5454,14.786,16.578,10.781,,,
94,0167-5729,14.765,18.563,6.385,,,
95,0033-2909,14.756,22.155,10.089,,,
95,0033-2909,14.756,22.155,10.089,,,
97,0017-5749,14.660,12.553,4.199,,,
98,1088-9051,14.630,15.567,8.372,,,
99,1092-2172,14.611,16.765,6.893,,,
100,2047-7538,14.603,14.621,4.865,,,
101,1758-678X,14.547,15.462,7.539,,,
101,1758-678X,14.547,15.462,7.539,,,
103,1359-4184,14.496,13.834,5.007,,,
104,0003-990X,14.480,15.560,6.133,,,
104,0003-990X,14.480,15.560,6.133,,,
106,1549-1676,14.429,18.047,7.845,,,
107,1063-5157,14.387,14.787,6.081,,,
108,1941-1405,14.356,16.008,6.964,,,
109,1723-8617,14.225,11.188,3.002,,,
109,1723-8617,14.225,11.188,3.002,,,
111,1523-9829,14.211,15.839,5.348,,,
112,1759-4774,14.180,14.916,5.569,,,
113,1369-7021,14.107,9.931,3.158,,,
114,1097-2765,14.018,15.052,8.463,,,
115,0302-2838,13.938,11.260,3.573,,,
116,0066-4170,13.731,15.682,5.410,,,
117,1530-6984,13.592,14.887,4.889,,,
118,0166-2236,13.555,14.695,6.266,,,
119,1545-9993,13.309,12.479,7.480,,,
120,1759-5029,13.281,12.409,4.433,,,
121,0021-9738,13.262,14.073,6.118,,,
122,0166-0616,13.250,11.912,4.022,,,
123,0168-6445,13.244,13.936,5.002,,,
124,2168-6106,13.116,13.128,6.739,,,
125,1073-449X,12.996,11.718,4.325,,,
125,1552-4450,12.996,14.273,6.433,,,
127,1360-1385,12.929,14.673,4.829,,,
128,0066-4219,12.928,13.452,5.056,,,
129,1936-0851,12.881,14.412,3.979,,,
130,1548-5943,12.674,14.369,5.539,,,
130,1548-5943,12.674,14.369,5.539,,,
132,1759-5045,12.610,11.693,3.948,,,
