Rank,Issn,,Journal Impact Factor,5-Year Impact Factor,Article Influence Score,,,
1,0007-9235,,162.500,107.740,34.798,,,
2,0028-4793,,54.420,52.426,22.412,,,
3,0009-2665,,45.661,48.832,14.261,,,
4,0034-6861,,42.860,52.577,32.037,,,
5,0028-0836,,42.351,40.783,22.184,,,
6,0732-0582,,41.392,46.174,23.737,,,
7,1471-0056,,39.794,40.274,20.650,,,
8,0140-6736,,39.207,39.315,15.986,,,
9,1087-0156,,39.080,35.620,17.560,,,
10,1474-175X,,37.912,41.706,18.684,,,
11,1474-1776,,37.231,35.436,12.810,,,
12,1471-0072,,36.458,42.584,22.235,,,
13,1476-1122,,36.425,41.775,17.801,,,
14,1474-1733,,33.836,37.762,17.382,,,
15,1748-3387,,33.265,38.586,15.952,,,
16,0092-8674,,33.116,35.020,20.124,,,
17,0036-8075,,31.477,34.463,17.698,,,
18,1471-003X,,31.376,37.472,16.773,,,
19,0306-0012,,30.425,33.159,9.090,,,
20,0098-7484,,30.387,29.914,13.160,,,
21,1749-4885,,29.958,32.342,14.936,,,
22,1061-4036,,29.648,32.138,16.173,,,
23,0031-9333,,29.041,35.456,13.875,,,
24,1078-8956,,28.054,26.501,12.300,,,
25,0079-6700,,26.854,34.000,8.079,,,
26,0066-4154,,26.534,32.970,17.890,,,
27,1548-7091,,25.953,27.195,14.131,,,
28,0079-6425,,25.870,25.897,9.311,,,
29,1529-2908,,24.973,25.566,13.027,,,
30,1470-2045,,24.725,24.229,9.601,,,
31,0167-5729,,24.562,25.642,9.371,,,
32,0001-4842,,24.348,26.002,7.988,,,
33,0066-4146,,24.037,31.423,18.988,,,
34,1535-6108,,23.893,27.238,14.431,,,
35,1740-1526,,23.317,25.640,11.021,,,
36,1755-4330,,23.297,24.537,9.182,,,
37,0370-1573,,22.910,25.010,12.261,,,
38,0147-006X,,22.660,28.613,15.009,,,
39,1934-5909,,22.151,25.911,13.683,,,
40,1553-4006,,22.128,21.918,8.910,,,
41,1474-4422,,21.823,24.075,8.873,,,
42,1364-6613,,21.147,18.920,8.363,,,
42,1364-6613,,21.147,18.920,8.363,,,
44,1745-2473,,20.603,20.059,13.840,,,
45,0066-4308,,20.533,25.106,11.942,,,
45,0066-4308,,20.533,25.106,11.942,,,
47,1081-0706,,20.241,19.672,10.877,,,
48,1465-7392,,20.058,21.241,11.687,,,
49,1074-7613,,19.748,20.948,11.149,,,
50,1473-3099,,19.446,18.279,7.097,,,
51,0163-769X,,19.358,24.124,8.571,,,
52,1543-5008,,18.900,32.189,11.628,,,
53,0031-6997,,18.551,22.472,8.062,,,
54,0362-1642,,18.523,19.845,7.056,,,
55,1748-0132,,18.432,19.202,5.394,,,
56,0066-4197,,18.115,22.113,12.073,,,
57,0001-8732,,18.062,27.921,16.088,,,
58,0732-183X,,17.960,17.186,6.041,,,
59,1552-5260,,17.472,10.035,3.078,,,
60,0360-1285,,16.909,20.320,6.429,,,
61,1550-4131,,16.747,17.878,8.209,,,
62,1433-8351,,16.526,18.310,9.044,,,
63,1941-1405,,16.381,16.277,7.914,,,
64,1756-1833,,16.378,16.122,6.274,,,
65,0002-5100,,16.333,13.667,4.419,,,
66,0003-4819,,16.104,16.482,7.416,,,
67,0893-8512,,16.000,19.916,6.986,,,
68,0896-6273,,15.982,16.485,8.682,,,
69,2159-8274,,15.929,15.929,9.286,,,
70,1759-4774,,15.696,14.389,5.861,,,
71,0066-426X,,15.678,15.500,6.710,,,
72,0034-4885,,15.633,16.627,8.758,,,
73,1531-7331,,15.629,16.758,6.996,,,
74,1754-5692,,15.490,15.263,3.780,,,
75,0066-4219,,15.478,13.298,5.289,,,
76,0935-9648,,15.409,15.581,4.266,,,
77,0169-5347,,15.353,18.987,8.214,,,
78,0735-1097,,15.343,14.669,5.368,,,
79,1758-678X,,15.295,15.327,8.105,,,
79,1758-678X,,15.295,15.327,8.105,,,
81,1092-2172,,15.255,16.735,7.160,,,
82,0027-8874,,15.161,15.194,6.526,,,
83,1359-4184,,15.147,14.196,4.672,,,
84,1097-6256,,14.976,16.273,8.604,,,
85,0140-525X,,14.962,22.821,10.342,,,
85,0140-525X,,14.962,22.821,10.342,,,
87,0009-7322,,14.948,15.326,5.900,,,
88,0195-668X,,14.723,13.120,4.685,,,
89,0066-4278,,14.696,18.785,7.850,,,
90,1097-2765,,14.464,15.324,9.138,,,
91,1946-6234,,14.414,12.701,6.265,,,
92,0033-2909,,14.392,21.197,9.618,,,
92,0033-2909,,14.392,21.197,9.618,,,
94,1614-6832,,14.385,14.442,4.008,,,
95,0737-4038,,14.308,10.494,3.846,,,
96,0067-0049,,14.137,12.220,6.715,,,
97,1759-4758,,14.103,14.785,5.438,,,
98,1744-4292,,14.099,12.292,5.891,,,
99,1549-1676,,14.000,17.945,7.797,,,
100,0016-5085,,13.926,12.951,4.877,,,
101,0022-1007,,13.912,13.955,7.174,,,
102,1088-9051,,13.852,14.927,8.122,,,
103,0168-6445,,13.806,14.390,5.605,,,
104,0021-9738,,13.765,14.449,6.309,,,
105,0003-990X,,13.747,14.396,5.215,,,
105,0003-990X,,13.747,14.396,5.215,,,
107,0002-953X,,13.559,15.062,5.204,,,
107,0002-953X,,13.559,15.062,5.204,,,
109,0968-0004,,13.522,12.197,6.006,,,
110,1360-1385,,13.479,14.220,4.802,,,
111,0017-5749,,13.319,11.483,4.147,,,
112,0935-4956,,13.312,14.628,9.234,,,
113,0003-9926,,13.246,12.305,5.245,,,
114,1552-4450,,13.217,15.059,6.912,,,
115,1461-023X,,13.042,17.794,7.467,,,
116,0066-4170,,13.021,14.258,4.901,,,
117,0066-4227,,13.018,17.007,7.466,,,
118,0163-7827,,12.963,12.336,3.867,,,
119,1759-5029,,12.958,11.843,4.330,,,
120,1530-6984,,12.940,14.452,4.989,,,
121,1548-5943,,12.921,15.459,5.763,,,
121,1548-5943,,12.921,15.459,5.763,,,
123,0105-2896,,12.909,12.238,5.430,,,
124,0166-2236,,12.902,14.345,6.407,,,
125,1723-8617,,12.846,8.093,2.115,,,
125,1723-8617,,12.846,8.093,2.115,,,
127,1529-1006,,12.833,Not Available,Not Available,,,
128,0169-409X,,12.707,15.271,3.782,,,
129,0890-9369,,12.639,12.765,7.475,,,
130,0302-2838,,12.480,9.983,2.961,,,
131,1523-9829,,12.450,15.000,5.619,,,
132,0962-8924,,12.314,11.742,5.861,,,
133,1936-122X,,12.250,16.430,9.080,,,
134,1931-3128,,12.194,13.573,6.507,,,
135,1534-0384,,12.143,7.360,2.362,,,
136,0010-8545,,12.098,12.598,3.031,,,
137,1936-0851,,12.033,13.774,4.034,,,
138,1471-4906,,12.031,10.339,4.488,,,
139,1073-449X,,11.986,11.284,3.880,,,
140,1001-0602,,11.981,11.078,4.416,,,
141,0364-5134,,11.910,11.353,4.184,,,
142,1947-5454,,11.909,14.529,10.036,,,
143,1614-4961,,11.833,14.040,9.367,,,
144,0927-796X,,11.789,20.224,6.036,,,
