Full Journal Title,ISSN,Journal Impact Factor,5-Year Impact Factor,Eigenfactor Score,Article Influence Score
CA-A CANCER JOURNAL FOR CLINICIANS,0007-9235,187.040,160.239,0.065,41.156
NEW ENGLAND JOURNAL OF MEDICINE,0028-4793,72.406,64.201,0.700,27.775
NATURE REVIEWS DRUG DISCOVERY,1474-1776,57.000,49.643,0.061,18.614
CHEMICAL REVIEWS,0009-2665,47.928,50.950,0.247,15.143
LANCET,0140-6736,47.831,48.082,0.404,19.450
NATURE REVIEWS MOLECULAR CELL BIOLOGY,1471-0072,46.602,43.310,0.096,21.264
JAMA-JOURNAL OF THE AMERICAN MEDICAL ASSOCIATION,0098-7484,44.405,38.209,0.280,17.752
NATURE BIOTECHNOLOGY,1087-0156,41.667,46.223,0.170,23.889
NATURE REVIEWS GENETICS,1471-0056,40.282,42.442,0.102,22.319
NATURE,0028-0836,40.137,43.769,1.433,22.987
NATURE REVIEWS IMMUNOLOGY,1474-1733,39.932,43.498,0.093,20.381
NATURE MATERIALS,1476-1122,39.737,47.494,0.204,18.934
Nature Nanotechnology,1748-3387,38.986,44.323,0.172,18.163
CHEMICAL SOCIETY REVIEWS,0306-0012,38.618,39.278,0.284,10.529
Nature Photonics,1749-4885,37.852,38.910,0.126,14.647
SCIENCE,0036-8075,37.205,38.062,1.158,19.174
NATURE REVIEWS CANCER,1474-175X,37.147,47.887,0.085,18.501
REVIEWS OF MODERN PHYSICS,0034-6861,36.917,45.547,0.070,23.851
LANCET ONCOLOGY,1470-2045,33.900,31.194,0.122,11.131
PROGRESS IN MATERIALS SCIENCE,0079-6425,31.140,35.942,0.017,9.601
Annual Review of Astronomy and Astrophysics,0066-4146,30.733,35.725,0.021,20.819
CELL,0092-8674,30.410,34.103,0.594,20.067
NATURE MEDICINE,1078-8956,29.886,32.261,0.178,14.878
Energy & Environmental Science,1754-5692,29.518,24.781,0.186,6.242
Living Reviews in Relativity,1433-8351,29.300,24.974,0.007,12.480
MATERIALS SCIENCE & ENGINEERING R-REPORTS,0927-796X,29.280,24.745,0.005,6.938
NATURE REVIEWS NEUROSCIENCE,1471-003X,28.880,37.257,0.071,17.196
Annual Review of Immunology,0732-0582,28.396,39.683,0.036,20.578
NATURE GENETICS,1061-4036,27.959,31.694,0.241,16.447
CANCER CELL,1535-6108,27.407,27.660,0.103,12.785
PHYSIOLOGICAL REVIEWS,0031-9333,27.312,34.628,0.033,13.408
Annual Review of Pathology-Mechanisms of Disease,1553-4006,26.853,26.330,0.013,9.962
NATURE REVIEWS MICROBIOLOGY,1740-1526,26.819,28.420,0.058,11.912
World Psychiatry,1723-8617,26.561,19.515,0.010,6.674
World Psychiatry,1723-8617,26.561,19.515,0.010,6.674
LANCET NEUROLOGY,1474-4422,26.284,25.612,0.065,10.093
Nature Chemistry,1755-4330,25.870,28.129,0.101,11.225
PROGRESS IN POLYMER SCIENCE,0079-6700,25.766,32.367,0.030,7.542
NATURE METHODS,1548-7091,25.062,36.723,0.218,20.040
JOURNAL OF CLINICAL ONCOLOGY,0732-183X,24.008,19.311,0.285,6.772
Cell Stem Cell,1934-5909,23.394,23.121,0.092,11.738
IMMUNITY,1074-7613,22.845,22.928,0.149,12.696
Annual Review of Plant Biology,1543-5008,22.808,25.141,0.019,9.667
Nature Physics,1745-2473,22.806,22.684,0.132,13.021
ADVANCES IN PHYSICS,0001-8732,21.818,22.094,0.005,10.314
Materials Today,1369-7021,21.695,19.797,0.017,5.465
NATURE IMMUNOLOGY,1529-2908,21.506,22.751,0.113,12.260
BMJ-British Medical Journal,1756-1833,20.785,19.355,0.160,8.041
Nature Reviews Clinical Oncology,1759-4774,20.693,18.267,0.027,6.714
ACCOUNTS OF CHEMICAL RESEARCH,0001-4842,20.268,22.758,0.137,7.448
Nature Reviews Neurology,1759-4758,20.257,18.755,0.027,6.962
EUROPEAN HEART JOURNAL,0195-668X,20.212,18.219,0.143,6.845
NATURE CELL BIOLOGY,1465-7392,20.060,20.594,0.103,10.533
Cancer Discovery,2159-8274,20.011,22.342,0.053,9.840
CLINICAL MICROBIOLOGY REVIEWS,0893-8512,19.958,23.488,0.020,8.388
Annual Review of Psychology,0066-4308,19.950,29.352,0.024,13.124
Annual Review of Psychology,0066-4308,19.950,29.352,0.024,13.124
Annual Review of Biochemistry,0066-4154,19.939,25.180,0.034,14.058
JOURNAL OF THE AMERICAN COLLEGE OF CARDIOLOGY,0735-1097,19.896,18.456,0.227,7.410
LANCET INFECTIOUS DISEASES,1473-3099,19.864,19.226,0.058,8.557
ADVANCED MATERIALS,0935-9648,19.791,19.615,0.327,5.073
Lancet Diabetes & Endocrinology,2213-8587,19.742,19.337,0.022,8.429
CIRCULATION,0009-7322,19.309,17.140,0.245,6.929
Nature Climate Change,1758-678X,19.304,21.108,0.082,9.348
Nature Climate Change,1758-678X,19.304,21.108,0.082,9.348
Lancet Respiratory Medicine,2213-2600,19.287,17.515,0.020,7.189
Annual Review of Condensed Matter Physics,1947-5454,18.588,17.813,0.012,10.351
GASTROENTEROLOGY,0016-5085,18.392,16.825,0.124,6.286
Nature Reviews Endocrinology,1759-5029,18.318,17.146,0.025,6.266
Cell Metabolism,1550-4131,18.164,19.786,0.100,9.146
PHARMACOLOGICAL REVIEWS,0031-6997,17.893,21.544,0.016,7.052
NATURE NEUROSCIENCE,1097-6256,17.839,17.398,0.160,9.852
Advances in Optics and Photonics,1943-8206,17.833,19.640,0.005,7.244
Lancet Global Health,2214-109X,17.686,18.248,0.015,8.268
Lancet Global Health,2214-109X,17.686,18.248,0.015,8.268
Nano Today,1748-0132,17.476,19.234,0.014,5.089
PHYSICS REPORTS-REVIEW SECTION OF PHYSICS LETTERS,0370-1573,17.425,22.000,0.030,9.038
PROGRESS IN ENERGY AND COMBUSTION SCIENCE,0360-1285,17.382,24.055,0.010,6.205
ANNALS OF INTERNAL MEDICINE,0003-4819,17.202,17.637,0.100,8.590
IEEE Communications Surveys and Tutorials,1553-877X,17.188,17.430,0.029,5.172
PSYCHOLOGICAL BULLETIN,0033-2909,16.793,20.655,0.027,9.246
PSYCHOLOGICAL BULLETIN,0033-2909,16.793,20.655,0.027,9.246
Science Translational Medicine,1946-6234,16.761,17.136,0.126,7.768
Advanced Energy Materials,1614-6832,16.721,16.457,0.075,4.250
GUT,0017-5749,16.658,14.759,0.070,5.212
TRENDS IN BIOCHEMICAL SCIENCES,0968-0004,16.630,13.994,0.032,6.715
JAMA Oncology,2374-2437,16.559,16.765,0.011,7.688
JAMA Internal Medicine,2168-6106,16.538,16.337,0.057,8.269
PSYCHOLOGICAL INQUIRY,1047-840X,16.455,15.259,0.003,7.399
EUROPEAN UROLOGY,0302-2838,16.265,13.994,0.067,4.310
ENDOCRINE REVIEWS,0163-769X,15.745,18.432,0.011,6.351
Annual Review of Neuroscience,0147-006X,15.630,22.067,0.021,11.942
CELL RESEARCH,1001-0602,15.606,14.331,0.038,5.916
TRENDS IN COGNITIVE SCIENCES,1364-6613,15.402,23.659,0.046,10.449
TRENDS IN COGNITIVE SCIENCES,1364-6613,15.402,23.659,0.046,10.449
TRENDS IN CELL BIOLOGY,0962-8924,15.333,13.305,0.035,6.264
JAMA Psychiatry,2168-622X,15.307,15.679,0.036,6.790
JAMA Psychiatry,2168-622X,15.307,15.679,0.036,6.790
TRENDS IN ECOLOGY & EVOLUTION,0169-5347,15.268,18.350,0.039,7.386
Nature Chemical Biology,1552-4450,15.066,14.519,0.065,7.075
Cell Host & Microbe,1931-3128,14.946,13.921,0.061,7.109
Annual Review of Cell and Developmental Biology,1081-0706,14.917,20.121,0.020,10.101
JOURNAL OF MANAGED CARE PHARMACY,1083-4087,14.789,4.696,0.003,1.511
Annual Review of Physical Chemistry,0066-426X,14.741,16.510,0.015,7.080
MOLECULAR CELL,1097-2765,14.714,14.370,0.184,8.389
MICROBIOLOGY AND MOLECULAR BIOLOGY REVIEWS,1092-2172,14.533,20.017,0.014,7.868
REPORTS ON PROGRESS IN PHYSICS,0034-4885,14.311,16.396,0.031,7.625
Nature Reviews Cardiology,1759-5002,14.299,12.633,0.018,4.870
BEHAVIORAL AND BRAIN SCIENCES,0140-525X,14.200,20.948,0.011,9.859
BEHAVIORAL AND BRAIN SCIENCES,0140-525X,14.200,20.948,0.011,9.859
AMERICAN JOURNAL OF PSYCHIATRY,0002-953X,14.176,14.625,0.043,5.723
AMERICAN JOURNAL OF PSYCHIATRY,0002-953X,14.176,14.625,0.043,5.723
Psychological Science in the Public Interest,1529-1006,14.143,23.625,0.002,10.820
Light-Science & Applications,2047-7538,14.098,14.567,0.011,4.270
NEURON,0896-6273,14.024,15.832,0.227,8.618
Annual Review of Fluid Mechanics,0066-4189,14.020,15.193,0.013,7.391
Wiley Interdisciplinary Reviews-Computational Molecular Science,1759-0876,14.016,13.915,0.014,4.395
STUDIES IN MYCOLOGY,0166-0616,14.000,15.691,0.005,5.093
CIRCULATION RESEARCH,0009-7330,13.965,11.972,0.080,4.376
ACS Nano,1936-0851,13.942,14.194,0.351,3.995
Nature Geoscience,1752-0894,13.941,14.350,0.082,7.442
JOURNAL OF THE AMERICAN CHEMICAL SOCIETY,0002-7863,13.858,12.969,0.772,3.794
Physics of Life Reviews,1571-0645,13.840,10.617,0.003,3.683
Nature Reviews Gastroenterology & Hepatology,1759-5045,13.678,15.515,0.023,5.609
Applied Physics Reviews,1931-9401,13.667,13.667,0.004,4.671
Annual Review of Medicine,0066-4219,13.609,13.345,0.012,5.257
FUNGAL DIVERSITY,1560-2745,13.465,9.104,0.008,2.093
Annual Review of Materials Research,1531-7331,13.432,19.074,0.010,7.416
SURFACE SCIENCE REPORTS,0167-5729,13.333,17.957,0.004,5.585
COORDINATION CHEMISTRY REVIEWS,0010-8545,13.324,12.743,0.034,3.162
TRENDS IN IMMUNOLOGY,1471-4906,13.287,12.270,0.029,5.461
HEPATOLOGY,0270-9139,13.246,11.930,0.110,3.886
PROGRESS IN NEUROBIOLOGY,0301-0082,13.217,11.916,0.018,3.907
AMERICAN JOURNAL OF RESPIRATORY AND CRITICAL CARE MEDICINE,1073-449X,13.204,13.077,0.090,4.646
MOLECULAR PSYCHIATRY,1359-4184,13.204,13.328,0.050,5.161
BLOOD,0006-4971,13.164,10.891,0.313,4.024
JOURNAL OF ALLERGY AND CLINICAL IMMUNOLOGY,0091-6749,13.081,12.376,0.083,3.671
Annual Review of Pharmacology and Toxicology,0362-1642,12.877,15.551,0.010,5.636
Annual Review of Entomology,0066-4170,12.867,15.307,0.010,5.073
