Journal,ISBN,AEA
Analyse Prévision,,X
Annals of Economic and Social Measurement,0044-832X,X
Arquivo do Instituto Gulbenkian de Ciência,0374-0218,X
Arthaniti,2517-2654,X
Asian Economic Review,,X
Cambridge Economic Policy Review,0143-2532,X
Capitalism and Society,1932-0213,X
Choices,2162-2884,X
Cityscape: A Journal of Policy Development and Research,1936-007X,X
Cityscape: A Journal of Policy Development and Research Online,1939-1935,X
Demografía y Economía,0185-0148,X
Economia delle Scelte Pubbliche/Journal of Public Finance and Public Choice,1120-7019,X
"Economic Bulletin of Ghana, Second Series",,X
Economic Policy Review,,X
FDIC Banking Review,1041-939X,X
FDIC Quarterly,1944-8880,X
FDIC Quarterly Online,1944-8899,X
Federal Reserve Bank Business Review of Philadelphia,0007-7011,X
Federal Reserve Bank of Dallas Economic and Financial Policy Review,,X
Federal Reserve Bank of Kansas City Monthly Review,0014-9152,X
Federal Reserve Bank of San Francisco Monthly Review,0014-9195,X
Financial Industry Studies,1526-4076,X
Harvard Business Review,,X
Illinois Agricultural Economics,0019-1833,X
Illinois Agricultural Economics Online,2325-596X,X
Indian Journal of Social and Economic Policy,,X
Indiana Business Review,0019-6541,X
Industrial Organization Review,0194-2875,X
Japan Research Quarterly,0021-3551,X
Journal of Asian Studies,,X
Journal of Business Research,,X
Journal of Research in Islamic Economics,,X
L'Industria,0019-7416,X
Management Training Review,,X
Marquette Business Review,,X
Middle East Journal,,X
New Mexico Business,,X
New Trends in Czechoslovak Economics,0045-9461,X
Nuovo Diritto Agrario,,X
Ohio State University Bulletin of Business Research,,X
Oregon Business Review,0030-4638,X
Peace Research Society International Papers,0094-8055,X
Punjab University Economist,0377-3191,X
Revista de Administraçao d'Emprêsas,2446-9955,X
Revue de Science Financière,0035-1741,X
Rivista di Statistica Applicata,0035-6549,X
Schmollers Jahrbuch für Wirtschafts– und Sozialwissenschaften,0036-6234,X
Southern Quarterly,0038-4496,X
Southern Quarterly Online,2377-2050,X
Southwestern Economic Review,1941-7683,X
Southwestern Economic Review Online,1941-7691,X
Statsokonomisk Tidsskrift,0039-0720,X
Storia del Pensiero Economico,1593-8565,X
Storia del Pensiero Economico Online,1593-8603,X
Tahqiqat–e eqtesadi (Quarterly Journal of Economic Research),1010-657X,X
Transportation Journal,0041-1612,X
Transportation Journal Online,2157-328X,X
University of Missouri Business and Government Review,,X
University of Washington Business Review,0042-0298,X
Wirtschaftspolitische Blätter,0043-6291,X
Wirtschaftspolitische Blätter Online,1605-8704,X
Yale Economic Essays,0044-006X,X
