Arthaniti: Journal of Economic Theory and Practice,2018-2020
Business Perspectives and Research,2015-2020
Competition and Regulation in Network Industries,2016-2020
Entrepreneurship Theory and Practice,1976-2020
IIM Kozhikode Society & Management Review,2012-2020
Indian Journal of Corporate Governance,2008-2020
Indian Journal of Human Development,2016-2020
International Journal of Distributed Sensor Networks,2018-2020
Metamorphosis: A Journal of Management Research,2016-2019
Review of Development and Change,2019-2020
Simulation & Gaming,2018-2020
Sociological Research Online,1996-2020
The Economic and Labour Relations Review,1990-2020
The Journal of Defense Modeling and Simulation,2018-2020
Tourism Economics,1995-2020
Vikalpa: The Journal for Decision Makers,2015-2020
Access Journal,2020-2020
International Association of Decision Sciences,2018-2020
CECCAR Business Review,2020-2020
PROCEEDINGS OF THE INTERNATIONAL CONFERENCE ON ECONOMICS AND SOCIAL SCIENCES,2018-2018
"Multidiszciplin ris kih¡v sok, soksz¡n? v laszok",2012-2020
Business and Management Research,2012-2020
Global Journal of Health Science,2016-2020
Journal of Educational and Developmental Psychology,2014-2020
Network and Communication Technologies,2012-2020
Journal Articles,2006-2016
Revisi¢n de libros Journal Econom¡a Chilena (The Chilean Economy),1998-2019
International Entrepreneurship Review,2019-2019
Development Finance Agenda,2017-2020
Ekonomia Spo?eczna/Social Economy,2017-2020
Review of Politics and Public Policy in Emerging Economies,2019-2020
Sustainable Business and Society in Emerging Economies,2019-2020
Entrepreneurƒ??s Guide,2020-2020
Journal of Homeland Security and Emergency Management,2003-2020
Advances in Education Sciences,2019-2020
Ilorin Journal of Economic Policy,2014-2021
Der Betriebswirt,2020-2020
Indian Journal of Commerce and Management Studies,2010-2020
International Journal of Research in Marketing,2008-2020
Land Use Policy,2018-2020
"Journal of Research in Economics, Politics & Finance",2016-2020
Policy Perspectives,2020-2020
Advances in Operations Research,2009-2020
Journal of Optimization,2013-2019
Journal of Probability and Statistics,2009-2020
Mathematical Problems in Engineering,1995-2020
Global Political Review,2016-2020
Global Regional Review,2016-2020
Business Review,2017-2019
ifo Schnelldienst Digital,2020-2020
International Journal of Applied Management Sciences and Engineering (IJAMSE),2014-2021
International Journal of Business Analytics (IJBAN),2014-2020
International Journal of Sustainable Entrepreneurship and Corporate Social Responsibility (IJSECSR),2016-2020
International Journal of Tourism and Hospitality Management in the Digital Age (IJTHMDA),2017-2021
International Journal of Science and Business,2017-2020
IBT Journal of Business Studies (JBS),2005-2019
"Ecology, Economy and Society - the INSEE Journal",2018-2020
INDEF Policy Brief,2018-2020
Western Balkan Journal of Agricultural Economics and Rural Development (WBJAERD),2019-2020
Revista CEA,2015-2020
Emerging Economy Studies,2015-2020
Journal of Economic Policy Researches,2020-2020
Journal of Economy Culture and Society,2019-2020
Muhasebe Enstitusu Dergisi - Journal of Accounting Institute,2019-2020
Economia agro-alimentare / Food Economy,2020-2020
American Journal of Agricultural Economics,2020-2020
Applied Economic Perspectives and Policy,2020-2020
Canadian Journal of Economics/Revue canadienne d'‚conomique,2000-2020
Corporate Social Responsibility and Environmental Management,2002-2020
International Journal of Network Management,2015-2020
Regulation & Governance,2007-2020
Review of Financial Economics,1991-2020
Journal of Business Administration Research,2012-2020
Tourism Research Institute,2010-2017
Kashmir Economic Review,2019-2019
Central European Journal of Labour Law and Personnel Management,2018-2020
International Journal of Business and Social Research,2011-2020
Current Trends On Biostatistics & Biometrics,2019-2020
Maandblad Voor Accountancy en Bedrijfseconomie Articles,2020-2020
International Journal of Global Sustainability,2017-2018
International Journal of Human Resource Studies,2018-2020
International Journal of Learning and Development,2011-2020
Journal of Asian Development,2015-2020
Journal of Food Industry,2017-2020
World Journal of Business and Management,2020-2020
"Journal of Contemporary Research in Business, Economics and Finance",2019-2020
Journal of Contemporary Research in Social Sciences,2019-2020
???§???«???¬??¥??æ¥ ?§???æ ???ñ???ú¥??æ?«???æ (? ?ø¥??????«?ø?¯¥??«¥??? ???ø?«?§ ? ?æ¥ ?¨¥Ÿ?ñ?¯???§?? ???ø?ú?ø¥?¥ ¥??ø?«),2020-2020
Journal Papers,2017-2020
Journal of Political Institutions and Political Economy,2020-2020
Strategic Management Review,2020-2020
Asian Business & Management,2016-2020
Corporate Reputation Review,2016-2020
International Journal of Disclosure and Governance,2016-2020
Journal of Brand Management,2016-2020
Journal of Financial Services Marketing,2016-2020
Journal of International Business Policy,2018-2020
Journal of Revenue and Pricing Management,2016-2020
Place Branding and Public Diplomacy,2016-2020
Risk Management,2016-2020
University Economic Bulletin,2019-2020
Public Administration and Regional Development,2018-2020
The National Academy of Sciences,2018-2020
PLOS ONE,2006-2020
"Green, Blue & Digital Economy Journal",2020-2020
Three Seas Economic Journal,2020-2020
"Economic Science, education and the real economy: Development and interactions in the digital age",2020-2020
Journal of Applied Farm Economics,2017-2018
JOURNAL OF LIFE ECONOMICS,2014-2020
Business Strategies,2014-2020
International Journal of Economics Development Research (IJEDR),2020-2020
APPLIED RESEARCH IN ADMINISTRATIVE SCIENCES,2020-2020
Articles R.U.S.,2018-2018
English Linguistics Research,2020-2020
World Journal of English Language,2020-2020
Journal of Social and Economic Statistics,2019-2020
EUREKA: Social and Humanities,2016-2020
TECHNOLOGY TRANSFER: INNOVATIVE SOLUTIONS IN SOCIAL SCIENCES AND HUMANITIES,
"Revista de Desarrollo Sustentable, Negocios, Emprendimiento y Educaci¢n RILDODS",2019-2020
Agricultural Development,2016-2018
Asian Business Research Journal,2016-2019
Journal of Banking and Financial Dynamics,2017-2019
Environment Systems and Decisions,1997-2020
Fuzzy Information and Engineering,2009-2013
International Journal of Global Business and Competitiveness,2019-2020
Italian Journal of Marketing,2020-2020
Journal in Spatial Econometrics,2020-2020
Journal of Combinatorial Optimization,1997-2020
Journal of Computational Social Science,2018-2020
Review of Evolutionary Political Economy,2020-2020
SN Operations Research Forum,2020-2020
The Japanese Economic Review,2016-2020
WISTA ? Wirtschaft und Statistik,2019-2020
Economic and Political Studies,2013-2020
Journal of the Operational Research Society,2018-2020
Statistical Theory and Related Fields,2017-2020
Statistics and Public Policy,2019-2019
The Journal of Mathematical Sociology,2020-2020
Technium Social Sciences Journal,2019-2020
Virtual Economics,2018-2019
UNCTAD Transnational Corporations Journal,
"H-industri@: Revista de historia de la industria, los servicios y las empresas en Am‚rica Latina",2020-2020
Revista de Econom¡a Pol¡tica de Buenos Aires,2017-2020
Revista de An lisis Econ¢mico y Financiero,2018-2020
CBR - Consumer Behavior Review,2018-2019
Environmental and Energy Policy and the Economy,2020-2020
