"","Journal","ISBN","AEA"
"73","Analyse Prévision","ISSN:","X"
"85","Annals of Economic and Social Measurement","ISSN:","X"
"115","Arquivo do Instituto Gulbenkian de Ciência","ISSN:","X"
"116","Arthaniti","ISSN:","X"
"131","Asian Economic Review","ISSN:","X"
"240","Cambridge Economic Policy Review","ISSN:","X"
"252","Capitalism and Society","ISSN:","X"
"279","Choices","ISSN:","X"
"283","Cityscape: A Journal of Policy Development and Research","ISSN:","X"
"345","Demografía y Economía","ISSN:","X"
"392","Economia delle Scelte Pubbliche/Journal of Public Finance and Public Choice","ISSN:","X"
"425","Economic Bulletin of Ghana, Second Series","ISSN:","X"
"447","Economic Policy Review","ISSN:","X"
"628","f","ISSN:","X"
"633","FDIC Banking Review","ISSN:","X"
"634","FDIC Quarterly","ISSN:","X"
"635","Federal Reserve Bank Business Review of Philadelphia","ISSN:","X"
"640","Federal Reserve Bank of Dallas Economic and Financial Policy Review","ISSN:","X"
"641","Federal Reserve Bank of Dallas Economic and Financial Review","ISSN:","X"
"644","Federal Reserve Bank of Kansas City Monthly Review","ISSN:","X"
"652","Federal Reserve Bank of San Francisco Monthly Review","ISSN:","X"
"669","Financial Industry Studies","ISSN:","X"
"730","Harvard Business Review","ISSN:","X"
"762","Illinois Agricultural Economics","ISSN:","X"
"782","Indian Journal of Social and Economic Policy","ISSN:","X"
"784","Indiana Business Review","ISSN:","X"
"787","Industrial Organization Review","ISSN:","X"
"982","Japan Research Quarterly","ISSN:","X"
"1017","Journal of Asian Studies","ISSN:","X"
"1042","Journal of Business Research","ISSN:","X"
"1286","Journal of Research in Islamic Economics","ISSN:","X"
"1361","L'Industria","ISSN:","X"
"1394","Management Training Review","ISSN:","X"
"1414","Marquette Business Review","ISSN:","X"
"1430","Middle East Journal","ISSN:","X"
"1464","New Mexico Business","ISSN:","X"
"1466","New Trends in Czechoslovak Economics","ISSN:","X"
"1484","Nuovo Diritto Agrario","ISSN:","X"
"1490","Ohio State University Bulletin of Business Research","ISSN:","X"
"1500","Oregon Business Review","ISSN:","X"
"1522","Peace Research Society International Papers","ISSN:","X"
"1585","Punjab University Economist","ISSN:","X"
"1707","Revista de Administraçao d'Emprêsas","ISSN:","X"
"1753","Revue de Science Financière","ISSN:","X"
"1773","Rivista di Statistica Applicata","ISSN:","X"
"1791","Schmollers Jahrbuch für Wirtschafts– und Sozialwissenschaften","ISSN:","X"
"1833","Southern Quarterly","ISSN:","X"
"1834","Southwestern Economic Review","ISSN:","X"
"1857","Statsokonomisk Tidsskrift","ISSN:","X"
"1859","Storia del Pensiero Economico","ISSN:","X"
"1883","Tahqiqat–e eqtesadi (Quarterly Journal of Economic Research)","ISSN:","X"
"1913","Transportation Journal","ISSN:","X"
"1925","University of Missouri Business and Government Review","ISSN:","X"
"1926","University of Washington Business Review","ISSN:","X"
"1950","Wirtschaftspolitische Blätter","ISSN:","X"
"1963","Yale Economic Essays","ISSN:","X"
