,Journal,ISSN
73,Analyse Prévision,0003-262X
85,Annals of Economic and Social Measurement,0044-832X
116,Arquivo do Instituto Gulbenkian de Ciência,0374-0218
117,Arthaniti,0976-7479
132,Asian Economic Review,0198-8697
241,Cambridge Economic Policy Review,0143-2532
253,Capitalism and Society,1932-0213
280,Choices,2162-2884
284,Cityscape: A Journal of Policy Development and Research,ISSN:
346,Demografía y Economía,0185-0148
393,Economia delle Scelte Pubbliche/Journal of Public Finance and Public Choice,1120-7019
426,"Economic Bulletin of Ghana, Second Series",ISSN:
448,Economic Policy Review,1709-5387
634,FDIC Banking Review,1041-939X
635,FDIC Quarterly,1944-8880
636,Federal Reserve Bank Business Review of Philadelphia,0007-7011
641,Federal Reserve Bank of Dallas Economic and Financial Policy Review,ISSN:
642,Federal Reserve Bank of Dallas Economic and Financial Review,ISSN:
645,Federal Reserve Bank of Kansas City Monthly Review,ISSN:
653,Federal Reserve Bank of San Francisco Monthly Review,ISSN:
670,Financial Industry Studies,ISSN:
731,Harvard Business Review,ISSN:
763,Illinois Agricultural Economics,ISSN:
783,Indian Journal of Social and Economic Policy,ISSN:
785,Indiana Business Review,ISSN:
788,Industrial Organization Review,ISSN:
983,Japan Research Quarterly,ISSN:
1019,Journal of Asian Studies,ISSN:
1044,Journal of Business Research,ISSN:
1290,Journal of Research in Islamic Economics,ISSN:
1366,L'Industria,ISSN:
1400,Management Training Review,ISSN:
1421,Marquette Business Review,ISSN:
1437,Middle East Journal,ISSN:
1471,New Mexico Business,ISSN:
1473,New Trends in Czechoslovak Economics,ISSN:
1491,Nuovo Diritto Agrario,ISSN:
1497,Ohio State University Bulletin of Business Research,ISSN:
1507,Oregon Business Review,ISSN:
1529,Peace Research Society International Papers,ISSN:
1592,Punjab University Economist,ISSN:
1715,Revista de Administraçao d'Emprêsas,ISSN:
1762,Revue de Science Financière,ISSN:
1782,Rivista di Statistica Applicata,ISSN:
1801,Schmollers Jahrbuch für Wirtschafts– und Sozialwissenschaften,ISSN:
1845,Southern Quarterly,ISSN:
1846,Southwestern Economic Review,ISSN:
1869,Statsokonomisk Tidsskrift,ISSN:
1871,Storia del Pensiero Economico,ISSN:
1895,Tahqiqat–e eqtesadi (Quarterly Journal of Economic Research),ISSN:
1925,Transportation Journal,ISSN:
1937,University of Missouri Business and Government Review,ISSN:
1938,University of Washington Business Review,ISSN:
1962,Wirtschaftspolitische Blätter,ISSN:
1976,Yale Economic Essays,ISSN:
