Level,Points,Journal,ISSN,Econ,ABS,I,A,T,B.Points,,,
Level I-A,150.000,American Economic Review,0002-8282,1,5,7.139,8.727,4.728,212.350,,,
Level I-A,150.000,Econometrica,0012-9682,1,5,6.211,11.282,4.008,221.260,,,
Level I-A,150.000,Journal of Accounting and Economics,0165-4101,1,5,6.622,3.624,3.586,152.061,,,
Level I-A,150.000,Journal of Economic Literature,0022-0515,1,5,8.536,8.281,5.216,221.941,,,
Level I-A,150.000,Journal of Economic Perspectives,0895-3309,1,5,10.055,7.317,7.323,225.075,,,
Level I-A,150.000,Journal of Finance,0022-1082,1,5,9.493,10.581,6.137,250.978,,,
Level I-A,150.000,Journal of Financial Economics,0304-405X,1,5,8.098,6.823,5.195,203.601,,,
Level I-A,150.000,Journal of Labor Economics,0734-306X,1,5,5.015,6.148,3.805,166.005,,,
Level I-A,150.000,Journal of Marketing,0022-2429,1,5,9.446,3.260,6.808,165.927,,,
Level I-A,150.000,Journal of Political Economy,0022-3808,1,5,6.817,11.635,5.698,231.075,,,
Level I-A,150.000,Journal of the European Economic Association,1542-4766,1,5,4.643,5.484,3.220,155.247,,,
Level I-A,150.000,Journal of the Royal Statistical Society: Series B (Statistical Methodology),1369-7412,1,5,5.143,5.630,3.379,162.388,,,
Level I-A,150.000,Quarterly Journal of Economics,0033-5533,1,5,14.143,21.034,10.338,367.012,,,
Level I-A,150.000,Review of Economic Studies,0034-6527,1,5,6.340,10.093,4.704,214.345,,,
Level I-A,150.000,Review of Economics and Statistics,0034-6535,1,5,5.377,5.505,3.830,163.657,,,
Level I-A,150.000,Review of Financial Studies,0893-9454,1,5,6.542,7.058,4.631,191.209,,,
Level I-B,147.088,Journal of International Business Studies,0047-2506,1,5,9.379,2.327,7.693,147.088,,,
Level I-B,145.529,Journal of Accounting Research,0021-8456,1,5,6.031,3.510,4.402,145.529,,,
Level I-B,141.811,Management Science,0025-1909,1,5,5.316,3.698,3.898,141.811,,,
Level I-B,140.944,Journal of Marketing Research,0022-2437,1,5,6.076,3.179,4.227,140.944,,,
Level I-B,139.209,Economic Geography,0013-0095,1,5,8.484,2.198,7.193,139.209,,,
Level I-B,136.074,Journal of Consumer Research,0093-5301,1,5,6.618,2.640,4.814,136.074,,,
Level I-B,135.259,Journal of Monetary Economics,0304-3932,1,5,3.596,4.776,2.521,135.259,,,
Level I-B,127.335,Research Policy,0048-7333,1,5,7.450,1.940,5.146,127.335,,,
Level I-B,127.003,Economic Journal,0013-0133,1,5,3.962,3.620,2.879,127.003,,,
Level I-B,122.141,Journal of the American Statistical Association,0162-1459,1,5,3.673,3.494,3.233,122.141,,,
Level I-B,120.000,Accounting Review,0001-4826,1,5,5.213,2.252,3.600,118.391,,,
Level I-B,120.000,American Economic Journal: Applied Economics,1945-7782,1,3,6.145,7.135,4.789,187.780,,,
Level I-B,120.000,American Economic Journal: Economic Policy,1945-7731,1,3,5.361,6.254,3.870,170.954,,,
Level I-B,120.000,American Economic Journal: Macroeconomics,1945-7707,1,3,4.681,7.236,3.213,171.557,,,
Level I-B,120.000,American Political Science Review,0003-0554,1,0,6.190,5.350,3.777,170.210,,,
Level I-B,120.000,Annual Review of Economics,1941-1383,1,3,5.549,6.437,3.496,174.784,,,
Level I-B,120.000,British Journal of Industrial Relations,0007-1080,1,5,2.365,0.890,2.001,64.881,,,
Level I-B,120.000,Brookings Papers on Economic Activity,0007-2303,1,3,5.774,7.315,5.507,185.334,,,
Level I-B,120.000,Business Ethics Quarterly,1052-150X,1,5,4.201,1.173,2.390,87.368,,,
Level I-B,120.000,Business History Review,0007-6805,1,5,1.262,0.574,1.205,44.655,,,
Level I-B,120.000,Contemporary Accounting Research/Recherche Comptable Contemporaine,0823-9150,1,5,3.413,1.372,2.117,85.841,,,
Level I-B,120.000,Econometric Theory,0266-4666,1,5,1.366,1.869,1.159,69.417,,,
Level I-B,120.000,Economic History Review,0013-0117,1,5,1.576,0.968,1.106,57.973,,,
Level I-B,120.000,"Economic History Review, Second Series",0013-0117,1,5,1.576,0.968,1.106,57.973,,,
Level I-B,120.000,Economic Policy,0266-4658,1,3,4.272,3.070,3.596,123.084,,,
Level I-B,120.000,Economic Policy: A European Forum,0266-4658,1,3,4.272,3.070,3.596,123.084,,,
Level I-B,120.000,Environment and Planning A,0308-518X,1,5,3.080,1.021,2.548,74.669,,,
Level I-B,120.000,European Journal of Operational Research,0377-2217,1,5,4.324,1.151,3.816,87.690,,,
Level I-B,120.000,Harvard Business Review,0017-8012,1,3,5.971,2.085,5.253,120.867,,,
Level I-B,120.000,Industrial Relations,0019-8676,1,5,1.545,0.843,1.322,54.841,,,
Level I-B,120.000,International Economic Review,0020-6598,1,5,2.221,2.488,1.582,90.960,,,
Level I-B,120.000,International Organization,0020-8183,1,0,5.719,3.899,4.675,148.205,,,
Level I-B,120.000,Journal of Business and Economic Statistics,0735-0015,1,5,3.253,3.503,2.589,117.168,,,
Level I-B,120.000,Journal of Corporate Finance,0929-1199,1,5,3.191,0.938,2.362,73.375,,,
Level I-B,120.000,Journal of Econometrics,0304-4076,1,5,2.538,2.434,1.719,94.579,,,
Level I-B,120.000,Journal of Economic Geography,1468-2702,1,5,5.023,1.841,3.367,108.916,,,
Level I-B,120.000,Journal of Economic Growth,1381-4338,1,3,6.462,4.932,5.750,167.934,,,
Level I-B,120.000,Journal of Economic Theory,0022-0531,1,5,1.529,2.150,1.170,75.838,,,
Level I-B,120.000,Journal of Financial and Quantitative Analysis,0022-1090,1,5,3.271,2.337,2.341,101.893,,,
Level I-B,120.000,Journal of Financial Intermediation,1042-9573,1,5,3.487,2.022,2.502,99.047,,,
Level I-B,120.000,Journal of Human Resources,0022-166X,1,3,6.107,5.674,4.695,172.931,,,
Level I-B,120.000,Journal of International Economics,0022-1996,1,5,3.383,2.668,2.213,107.996,,,
Level I-B,120.000,"Journal of Money, Credit, and Banking",0022-2879,1,5,2.320,1.891,1.536,83.904,,,
Level I-B,120.000,Journal of Policy Analysis and Management,0276-8739,1,3,4.661,3.144,4.097,127.960,,,
Level I-B,120.000,Journal of World Business,1090-9516,1,5,5.957,1.145,4.992,97.916,,,
Level I-B,120.000,Marketing Science,0732-2399,1,5,3.852,2.397,2.768,108.845,,,
Level I-B,120.000,Operations Research,0030-364X,1,5,3.376,2.119,2.432,99.548,,,
Level I-B,120.000,Proceedings of the National Academy of Sciences of the United States of America,0027-8424,1,0,10.526,4.488,9.499,192.751,,,
Level I-B,120.000,Production and Operations Management,1059-1478,1,5,3.390,1.321,2.178,84.495,,,
Level I-B,120.000,Public Administration Review,0033-3352,1,5,5.721,1.661,4.438,109.965,,,
