"Title","ISSN","AEA","SCIMAGO","JCI"
"4OR: A Quarterly Journal of Operations Research","1619-4500","X",NA,NA
"Academia Economic Papers","1018-161X","X",NA,NA
"Accounting History Review","2155-2851","X",NA,NA
"Accounting Review","0001-4826","X","X",NA
"Accounting, Business and Financial History","0958-5206","X",NA,NA
"Accounting, Economics, and Law: A Convivium","2194-6051","X",NA,NA
"ACES Bulletin","0360-5930","X",NA,NA
"Acta Oeconomica","0001-6373","X","X","X"
"Acta Oeconomica Pragensia","0572-3043","X",NA,NA
"Acta Turistica","0353-4316","X",NA,NA
"Actual Problems of Economics","1993-6788","X","X",NA
"Actualidad Económica","0327-585X","X",NA,NA
"AD-minister","1692-0279","X",NA,NA
"Advances in Economic Analysis and Policy","1538-0637","X",NA,NA
"Advances in Economics and Business","2331-5059","X",NA,NA
"Advances in Macroeconomics","1534-6013","X",NA,NA
"Advances in Management and Applied Economics","1792-7544","X",NA,NA
"Advances in Theoretical Economics","1534-5963","X",NA,NA
"Advancing the Consumer Interest","1044-7385","X",NA,NA
"AEA Papers and Proceedings","2574-0768","X",NA,NA
"Aestimatio: The IEB International Journal of Finance","2173-0164","X",NA,NA
"Aestimum","1592-6117","X",NA,NA
"African Development Review/Revue Africaine de Developpement","1017-6772","X",NA,NA
"African Economic History","0145-2258","X","X",NA
"African Finance Journal","1605-9786","X",NA,NA
"African Journal of Economic and Sustainable Development","2046-4770","X",NA,NA
"African Journal of Social Sciences","2045-8452","X",NA,NA
"Afro-Asian Journal of Finance and Accounting","1751-6447","X",NA,NA
"AgBioForum","1522-936X","X","X",NA
"Agenda","1322-1833","X",NA,NA
"Ager: Revista de Estudios sobre Despoblación y Desarrollo Rural","1578-7168","X",NA,NA
"Agrekon","0303-1853","X","X",NA
"Agribusiness","0742-4477","X","X","X"
"Agricultural and Food Economics","2193-7532","X","X",NA
"Agricultural and Resource Economics","2414-584X","X",NA,NA
"Agricultural and Resource Economics Review","1068-2805","X","X",NA
"Agricultural Economics","0169-5150","X","X","X"
"Agricultural Economics and Rural Development","1841-0375","X",NA,NA
"Agricultural Economics Research","0002-1423","X",NA,NA
"Agricultural Economics Review","1109-2580","X",NA,NA
"Agricultural Finance Review","0002-1466","X","X",NA
"Agriculture and Human Values","0889-048X","X",NA,NA
"Agriculture and Resources Quarterly","1032-9722","X",NA,NA
"Agroalimentaria","1316-0354","X",NA,NA
"Agronomia Mesoamericana","1021-7444","X",NA,NA
"Akademija MM","1408-1652","X",NA,NA
"Akdeniz IIBF Dergisi","1302-9975","X",NA,NA
"Allgemeines Statistisches Archiv/Journal of the German Statistical Society","0002-6018","X",NA,NA
"Alphanumeric Journal","2148-2225","X",NA,NA
"América Latina en la Historia Económica","1405-2253","X",NA,NA
"American Economic Journal: Applied Economics","1945-7782","X",NA,"X"
"American Economic Journal: Economic Policy","1945-7731","X",NA,"X"
"American Economic Journal: Macroeconomics","1945-7707","X",NA,"X"
"American Economic Journal: Microeconomics","1945-7669","X",NA,"X"
"American Economic Review","0002-8282","X","X","X"
"American Economic Review: Insights","2640-205X","X",NA,NA
"American Economist","0569-4345","X",NA,NA
"American Enterprise","1047-3572","X",NA,NA
"American Historical Review","0002-8762","X",NA,NA
"American Journal of Agricultural Economics","0002-9092","X","X","X"
