"","Level","Points","Journal","ISSN","Econ","ABS","I","A","T"
"1","No Level",NA,"Human Resource Planning"," 0199-8986",NA,1,NA,NA,NA
"2","No Level",NA,"South African Journal of Industrial Psychology"," 0258-5200 ",NA,1,NA,NA,NA
"3","Level III",56.9138543765205,"Communications of the ACM","0001-0782",NA,2,5.70133333333333,1.84,5.15366666666667
"4","Level II",60,"Abacus","0001-3072",NA,3,1.66633333333333,0.308666666666667,1.59466666666667
"5","Level I-B",120,"Academy of Management Journal","0001-4273",NA,5,11.6506666666667,5.51266666666667,7.13866666666667
"6","Level II",60,"Accident Analysis and Prevention","0001-4575",NA,3,3.61133333333333,0.866,3.099
"7","Level II",60,"Accounting and Business Research","0001-4788",NA,3,2.37866666666667,0.452,1.78466666666667
"8","Level I-B",120,"Accounting Review","0001-4826",1,5,5.21266666666667,2.25166666666667,3.6
"9","Level V",14.7619424343253,"Acta Oeconomica","0001-6373",1,NA,0.581666666666667,0.0526666666666667,0.718666666666667
"10","Level IV",20,"L'Actualité Economique","0001-771X",1,NA,NA,NA,NA
"11","Level IV",20,"L'Actualité Economique/Revue D'Analyse Economique","0001-771X",1,NA,NA,NA,NA
"12","Level I-B",120,"Administrative Science Quarterly","0001-8392",NA,5,9.60333333333333,6.24,7.402
"13","Level I-B",120,"Journal of Vocational Behavior","0001-8791",NA,5,4.579,1.21966666666667,3.49933333333333
"14","Level II",60,"African Affairs","0001-9909",NA,3,2.99933333333333,1.22933333333333,2.27766666666667
"15","Level IV",21.6382097004738,"German Journal of Agricultural Economics","0002-1121",1,NA,0.601,0.152,0.593
"16","Level IV",20,"Agricultural Economics Research","0002-1423",1,NA,NA,NA,NA
"17","Level IV",20,"Journal of Agricultural Economics Research","0002-1423",1,NA,NA,NA,NA
"18","Level IV",20,"Agricultural Finance Review","0002-1466",1,1,NA,NA,NA
"19","Level IV",20,"Allgemeines Statistisches Archiv/Journal of the German Statistical Society","0002-6018",1,NA,NA,NA,NA
"20","Level II",85.1334303131267,"Annals of the American Academy of Political and Social Science","0002-7162",1,NA,3.02966666666667,1.51,2.05933333333333
"21","Level IV",39.7218986364829,"American Behavioral Scientist","0002-7642",NA,1,3.06566666666667,1.22466666666667,1.598
"22","Level I-A",150,"American Economic Review","0002-8282",1,5,7.13933333333333,8.727,4.72766666666667
"23","Level II",66.2955423940871,"American Historical Review","0002-8762",1,NA,1.94633333333333,1.15033333333333,1.69333333333333
"24","Level II",77.8001796644547,"American Journal of Agricultural Economics","0002-9092",1,3,2.993,1.18166666666667,2.67233333333333
"25","Level III",40,"American Journal of Economics and Sociology","0002-9246",1,2,0.528,0.130333333333333,0.386333333333333
"26","Level III",40,"American Journal of Psychology","0002-9556",NA,2,1.00766666666667,0.350333333333333,0.934666666666667
"27","Level I-B",120,"American Journal of Sociology","0002-9602",NA,5,5.826,3.59833333333333,3.818
"28","Level I-A",150,"American Political Science Review","0003-0554",1,NA,6.19033333333333,5.34966666666667,3.77666666666667
"29","Level I-B",120,"American Sociological Review","0003-1224",NA,5,7.56466666666667,4.58866666666667,5.60866666666667
"30","Level I-C",93.4193894921274,"American Statistician","0003-1305",1,NA,3.397,1.756,3.83766666666667
"31","Level IV",20,"Analyse Prévision","0003-262X",1,NA,NA,NA,NA
"32","Level IV",20,"Annales de Sciences Economiques Appliqués","0003-4207",1,NA,NA,NA,NA
"33","Level IV",20,"Antitrust Bulletin","0003-603X",1,NA,NA,NA,NA
"34","Level III",40,"Applied Economics","0003-6846",1,2,1.05966666666667,0.282,0.940333333333333
"35","Level III",40,"Applied Ergonomics","0003-6870",NA,2,2.77133333333333,0.607666666666667,2.73
"36","Level IV",20,"Artha-Vikas","0004-3567",1,NA,NA,NA,NA
"37","Level IV",20,"Aussenwirtschaft","0004-8216",1,NA,NA,NA,NA
"38","Level III",40,"Australian Economic History Review","0004-8992",1,2,0.605333333333333,0.243,0.381
"39","Level IV",20.5614599019884,"Australian Economic Papers","0004-900X",1,1,0.633333333333333,0.124666666666667,0.697
"40","Level IV",24.9762481655217,"Australian Economic Review","0004-9018",1,1,0.689333333333333,0.199666666666667,0.549666666666667
"41","Level IV",22.5305783768564,"Australian Journal of Psychology","0004-9530",NA,1,1.58633333333333,0.468333333333333,1.134
"42","Level IV",20,"Banca Nazionale del Lavoro Quarterly Review","0005-4607",1,NA,NA,NA,NA
"43","Level IV",20,"Bancaria","0005-4623",1,1,NA,NA,NA
"44","Level IV",20,"Bancni Vestnik","0005-4631",1,NA,NA,NA,NA
"45","Level IV",20,"Bank of England Quarterly Bulletin","0005-5166",1,NA,NA,NA,NA
"46","Level I-B",120,"Biometrika","0006-3444",NA,5,2.35966666666667,2.56633333333333,1.64733333333333
"47","Level IV",20,"Boletin de Estudios Económicos","0006-6249",1,NA,NA,NA,NA
